Number  Position  Material  Node1  Node2  Node3  Node4
202   9      1      604      649      650      605
203   9      1      649      694      695      650
204   9      1      694      739      740      695
205   9      1      739      784      785      740
206   9      1      784      829      830      785
207   9      1      829      874      875      830
208   9      1      874      919      920      875
209   9      1      919      964      965      920
210   9      1      964      1009      1010      965
211   9      1      1009      1054      1055      1010
212   9      1      1054      1099      1100      1055
213   9      1      1099      1144      1145      1100
214   9      1      1144      1189      1190      1145
215   9      1      1189      1234      1235      1190
216   9      1      1234      1279      1280      1235
217   9      1      1279      1324      1325      1280
218   9      1      1324      1369      1370      1325
219   9      1      1369      1414      1415      1370
220   9      1      1414      1459      1460      1415
221   9      1      1459      1504      1505      1460
222   9      1      1504      1549      1550      1505
223   9      1      1549      1594      1595      1550
224   9      1      1594      1639      1640      1595
225   9      1      200      245      246      201
226   9      1      245      290      291      246
227   9      1      290      335      336      291
228   9      1      335      380      381      336
229   9      1      380      425      426      381
230   9      1      425      470      471      426
231   9      1      470      515      516      471
232   9      1      515      560      561      516
233   9      1      560      605      606      561
234   9      1      605      650      651      606
235   9      1      650      695      696      651
236   9      1      695      740      741      696
237   9      1      740      785      786      741
238   9      1      785      830      831      786
239   9      1      830      875      876      831
240   9      1      875      920      921      876
241   9      1      920      965      966      921
242   9      1      965      1010      1011      966
243   9      1      1010      1055      1056      1011
244   9      1      1055      1100      1101      1056
245   9      1      1100      1145      1146      1101
246   9      1      1145      1190      1191      1146
247   9      1      1190      1235      1236      1191
248   9      1      1235      1280      1281      1236
249   9      1      1280      1325      1326      1281
250   9      1      1325      1370      1371      1326
251   9      1      1370      1415      1416      1371
252   9      1      1415      1460      1461      1416
253   9      1      1460      1505      1506      1461
254   9      1      1505      1550      1551      1506
255   9      1      1550      1595      1596      1551
256   9      1      1595      1640      1641      1596
257   9      1      201      246      247      202
258   9      1      246      291      292      247
259   9      1      291      336      337      292
260   9      1      336      381      382      337
261   9      1      381      426      427      382
262   9      1      426      471      472      427
263   9      1      471      516      517      472
264   9      1      516      561      562      517
265   9      1      561      606      607      562
266   9      1      606      651      652      607
267   9      1      651      696      697      652
268   9      1      696      741      742      697
269   9      1      741      786      787      742
270   9      1      786      831      832      787
271   9      1      831      876      877      832
272   9      1      876      921      922      877
273   9      1      921      966      967      922
274   9      1      966      1011      1012      967
275   9      1      1011      1056      1057      1012
276   9      1      1056      1101      1102      1057
277   9      1      1101      1146      1147      1102
278   9      1      1146      1191      1192      1147
279   9      1      1191      1236      1237      1192
